timestamp,IBM,MSFT,INTC
2020-01-02,106.204283415289,154.761572141591,54.3968079395097
2020-01-03,105.357284256461,152.834519817577,53.7351768107254
2020-01-06,105.169062221165,153.229565543999,53.583180470329
2020-01-07,105.239645484401,151.832452609089,52.6890843503502
2020-01-08,106.118014982445,154.250903275727,52.7248481951494
2020-01-09,107.239504609412,156.177955599741,53.0198999147424
2020-01-10,107.200291685392,155.455310978236,52.69802531155
2020-01-13,107.129708422157,157.32455173253,53.2791877895362
2020-01-14,106.517986807447,156.216496646222,53.1361324103396
2020-01-15,107.145393591765,157.228199116329,52.69802531155
2020-01-16,108.211985125104,160.109142340731,53.3417745179348
2020-01-17,108.470790423635,161.005221671397,53.288128750736
2020-01-21,109.145252716775,160.427105974193,54.1375200647159
2020-01-22,112.846952744247,159.656285044587,56.0866496062696
2020-01-23,112.047009094242,160.639081729835,56.6141663170571
2020-01-24,110.235372004527,159.020357777663,61.2187613349479
2020-01-27,108.713910552557,156.361025570523,58.7331741214069
2020-01-28,109.443270939326,159.425038765706,60.1816098357725
2020-01-29,107.984550165789,161.910936263684,59.3053956381933
2020-01-30,107.263032363824,166.478050271598,59.4305690949903
2020-01-31,112.721471387383,164.02105855848,57.1595649502442
2020-02-03,114.71348792759,168.019692130809,57.5976720490338
2020-02-04,116.940782011916,173.550332300731,58.5275320138118
2020-02-05,122.603128240379,173.338356545089,60.2084327193719
2020-02-06,122.940359386949,176.932309129376,60.2799604089702
2020-02-07,121.583592215863,177.182825931498,59.3185718616815
2020-02-10,122.391983220753,181.817386770752,59.6510146303701
2020-02-11,121.639070029924,177.712765320602,60.5674784791874
2020-02-12,123.089418597521,177.972917384344,60.6124031776588
2020-02-13,122.296878396649,177.009391222336,60.5944332982702
2020-02-14,119.435808271499,178.589574128028,60.4416893234673
2020-02-18,119.752824351848,180.401003312602,59.4263911380129
2020-02-19,119.562614703638,180.940577963326,60.2979302883588
2020-02-20,119.847929175952,178.177388872258,58.8064302991072
2020-02-21,118.754223698748,172.544734186621,57.8091019930413
2020-02-24,116.051661613773,165.105378941439,55.4909875519153
2020-02-25,112.310871865654,162.380835851645,53.6670447939751
2020-02-26,110.757493071944,164.409750918513,53.5951652764208
2020-02-27,105.49502613815,152.82561203673,50.1629183132032
2020-02-28,103.149107143567,156.525966658684,49.8843851826804
2020-03-02,106.438148977188,166.941064001938,52.2743791413606
2020-03-03,102.158431892476,158.941341738289,50.2887074689233
2020-03-04,106.374745761118,164.776887930613,52.723626126075
2020-03-05,102.673583023044,160.64176579433,51.1782164986577
2020-03-06,101.231159857455,156.100860644674,50.1090086750375
2020-03-09,93.3691610647993,145.521517796006,45.6884183454484
2020-03-10,98.8852408628725,155.472863123977,48.5007044697602
2020-03-11,93.4959674969389,148.42962939185,46.4161984606856
2020-03-12,81.4810580517105,134.352823427916,40.9174153677821
2020-03-13,85.5547146841956,153.453609557427,48.9050267560031
2020-03-16,78.5248831024558,130.836037312012,40.0818159762134
2020-03-17,84.5244124230613,141.608610167047,44.9965779889883
2020-03-18,82.0675378003563,135.647464470584,42.7772978844995
2020-03-19,79.5234837555553,137.879271044138,41.2768129555536
2020-03-20,75.600409761236,132.700706873466,41.1779786189164
2020-03-23,75.109034836695,131.377081329843,44.547331004274
2020-03-24,83.5971403880404,143.318695723407,47.0810839980629
2020-03-25,83.8903802623632,141.946762678192,46.0568008729142
2020-03-26,89.4698632765062,150.825681470818,49.9023550620689
2020-03-27,85.6181179002654,144.632659766712,47.05412917898
2020-03-30,89.5015648845411,154.806219602006,49.8574303635975
2020-03-31,87.916484482796,152.371521521765,48.6264936254802
2020-04-01,83.3276767197437,146.961081343451,46.61386713396
2020-04-02,87.1794220959844,150.004453943752,48.8331472384488
2020-04-03,84.2787249607908,148.622859398219,48.6354785651745
2020-04-06,90.9994658641903,159.675615762488,52.4990026337178
2020-04-07,91.094570688295,157.95586870581,52.472047814635
2020-04-08,94.5421205620908,159.54035475803,52.9931743169036
2020-04-09,96.2936344060192,159.550016258349,51.3399454131548
2020-04-13,96.0162453357138,159.90749177013,52.7415960054636
2020-04-14,98.2036562901221,167.820260530914,54.5026441855438
2020-04-15,94.0665964415672,166.061867472962,52.8943399802664
2020-04-16,91.7206774469844,171.047201637266,54.6194484015695
2020-04-17,95.199928928815,172.554395686939,54.2330959947152
2020-04-20,95.429765587068,169.134224574219,53.1728731107893
2020-04-21,92.5369938538831,162.139298343685,50.6391201170004
2020-04-22,94.5579713661082,167.646353525183,53.9994875626637
2020-04-23,96.1747533758883,165.617438458315,53.0470839550693
2020-04-24,98.8456138528289,168.64148805798,53.2447526283436
2020-04-27,99.796662093876,168.158413042059,53.4334363619236
2020-04-28,100.074051164181,164.06193690705,52.786520703935
2020-04-29,101.991998450293,171.424000149684,55.5269273106925
2020-04-30,99.5113476215619,173.143747206363,53.8916682863323
2020-05-01,96.586874280342,168.660811058617,51.6364484230663
2020-05-04,96.4362916421762,172.786271694581,52.1036652871692
2020-05-05,97.1495778229616,174.641279755717,52.786520703935
2020-05-06,97.6171765414764,176.361026812396,53.4693761207008
2020-05-07,97.3714890792059,177.385145846148,53.4603410791123
2020-05-08,98.785114590873,178.428587880537,53.9120931585369
2020-05-11,98.4638360654941,180.418856946131,54.3277050716076
2020-05-12,96.5923886551621,176.33204231144,52.7556078352099
2020-05-13,92.9539093552462,173.665468223557,52.1683301319578
2020-05-14,93.9338088576518,174.419065248394,53.3790257048159
2020-05-15,93.9579047470552,176.960039832137,52.6562223777364
